Genotype_code,Loc.Year.Treat
EB.09S.H.00130,BLOIS_2017_OPT
EB.09S.H.00132,BLOIS_2017_OPT
EB.09S.H.00133,BLOIS_2017_OPT
EB.09S.H.00135,BLOIS_2017_OPT
EB.09S.H.00136,BLOIS_2017_OPT
EB.09S.H.00140,BLOIS_2017_OPT
EB.09S.H.00142,BLOIS_2017_OPT
EB.09S.H.00144,BLOIS_2017_OPT
EB.09S.H.00145,BLOIS_2017_OPT
EB.09S.H.00149,BLOIS_2017_OPT
EB.09S.H.00155,BLOIS_2017_OPT
EB.09S.H.00157,BLOIS_2017_OPT
EB.09S.H.00160,BLOIS_2017_OPT
EB.09S.H.00161,BLOIS_2017_OPT
EB.09S.H.00165,BLOIS_2017_OPT
EB.09S.H.00168,BLOIS_2017_OPT
EB.09S.H.00171,BLOIS_2017_OPT
EB.09S.H.00172,BLOIS_2017_OPT
EB.09S.H.00175,BLOIS_2017_OPT
EB.09S.H.00178,BLOIS_2017_OPT
EB.09S.H.00179,BLOIS_2017_OPT
EB.09S.H.00185,BLOIS_2017_OPT
EB.09S.H.00188,BLOIS_2017_OPT
EB.09S.H.00191,BLOIS_2017_OPT
EB.09S.H.00192,BLOIS_2017_OPT
EB.09S.H.00194,BLOIS_2017_OPT
EB.09S.H.00198,BLOIS_2017_OPT
EB.09S.H.00199,BLOIS_2017_OPT
EB.09S.H.00201,BLOIS_2017_OPT
EB.09S.H.00204,BLOIS_2017_OPT
EB.09S.H.00205,BLOIS_2017_OPT
EB.09S.H.00209,BLOIS_2017_OPT
EB.09S.H.00223,BLOIS_2017_OPT
EB.09S.H.00224,BLOIS_2017_OPT
EB.09S.H.00225,BLOIS_2017_OPT
EB.09S.H.00226,BLOIS_2017_OPT
EB.09S.H.00232,BLOIS_2017_OPT
EB.09S.H.00235,BLOIS_2017_OPT
EB.09S.H.00238,BLOIS_2017_OPT
EB.09S.H.00240,BLOIS_2017_OPT
EB.09S.H.00242,BLOIS_2017_OPT
EB.09S.H.00243,BLOIS_2017_OPT
EB.09S.H.00245,BLOIS_2017_OPT
EB.09S.H.00246,BLOIS_2017_OPT
EB.09S.H.00250,BLOIS_2017_OPT
EB.09S.H.00251,BLOIS_2017_OPT
EB.09S.H.00253,BLOIS_2017_OPT
EB.09S.H.00254,BLOIS_2017_OPT
EB.09S.H.00257,BLOIS_2017_OPT
EB.09S.H.00263,BLOIS_2017_OPT
EB.09S.H.00264,BLOIS_2017_OPT
EB.09S.H.00265,BLOIS_2017_OPT
EB.09S.H.00266,BLOIS_2017_OPT
EB.09S.H.00267,BLOIS_2017_OPT
EB.09S.H.00273,BLOIS_2017_OPT
EB.09S.H.00278,BLOIS_2017_OPT
EB.09S.H.00283,BLOIS_2017_OPT
EB.09S.H.00287,BLOIS_2017_OPT
EB.09S.H.00290,BLOIS_2017_OPT
EB.09S.H.00291,BLOIS_2017_OPT
EB.09S.H.00292,BLOIS_2017_OPT
EB.09S.H.00294,BLOIS_2017_OPT
EB.09S.H.00297,BLOIS_2017_OPT
EB.09S.H.00300,BLOIS_2017_OPT
EB.09S.H.00306,BLOIS_2017_OPT
EB.09S.H.00309,BLOIS_2017_OPT
EB.09S.H.00315,BLOIS_2017_OPT
EB.09S.H.00316,BLOIS_2017_OPT
EB.09S.H.00318,BLOIS_2017_OPT
EB.09S.H.00322,BLOIS_2017_OPT
EB.09S.H.00324,BLOIS_2017_OPT
EB.09S.H.00325,BLOIS_2017_OPT
EB.09S.H.00326,BLOIS_2017_OPT
EB.09S.H.00328,BLOIS_2017_OPT
EB.09S.H.00329,BLOIS_2017_OPT
EB.09S.H.00331,BLOIS_2017_OPT
EB.09S.H.00334,BLOIS_2017_OPT
EB.09S.H.00335,BLOIS_2017_OPT
EB.09S.H.00336,BLOIS_2017_OPT
EB.09S.H.00340,BLOIS_2017_OPT
EB.09S.H.00341,BLOIS_2017_OPT
EB.09S.H.00348,BLOIS_2017_OPT
EB.09S.H.00352,BLOIS_2017_OPT
EB.09S.H.00353,BLOIS_2017_OPT
EB.09S.H.00356,BLOIS_2017_OPT
EB.09S.H.00357,BLOIS_2017_OPT
EB.09S.H.00359,BLOIS_2017_OPT
