ind,A632_usa,B73_inra,CO255_inra,FV252_inra,OH43_inra,A654_inra,FV2_inra,C103_inra,EP1_inra,D105_inra,W117_inra,B96,DK63,F492,ND245,VA85
EB.09S.H.00451,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00453,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00454,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00455,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00457,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00460,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00465,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00469,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00471,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00472,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00474,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00476,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00477,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00480,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00481,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00482,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00484,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00485,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00488,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00492,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00493,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00494,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00496,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00498,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00500,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00502,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00504,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00506,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00507,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00509,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00512,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00513,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00518,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
